symbol,current_price,target-price,difference
AVLR,122.93,145,22.069999999999993
AVNS,31.3,32.5,1.1999999999999993
AVNT,25.93,30,4.07
AVNW,20.68,21.5,0.8200000000000003
AVRO,17.16,36.5,19.34
AVT,26.67,29,2.3299999999999983
AVTR,22.35,19,-3.3500000000000014
AVUS,54.706,0,-54.706
AVUV,44.16,0,-44.16
AVXL,4.39,11,6.61
AVY,114.58,120,5.420000000000002
AVYA,15.89,17,1.1099999999999994
AWAY,19.507,38,18.493
AWF,10.79,0,-10.79
AWH,2.76,47,44.24
AWI,74.17,85.75,11.579999999999998
AWK,143.64,139,-4.639999999999986
AWP,4.8,0,-4.8
AWR,76.51,80,3.489999999999995
AWRE,2.8,6,3.2
AWTM,49.635,0,-49.635
AWX,1.6,0,-1.6
AX,24.13,27,2.870000000000001
AXAS,0.1766,0.15,-0.026600000000000013
AXDX,13.54,13.5,-0.03999999999999915
AXGN,10.89,15,4.109999999999999
AXGT,3.15,13,9.85
AXL,6.91,4.5,-2.41
AXLA,5.32,18,12.68
AXNX,44.25,46.5,2.25
AXO,25.373,0,-25.373
AXP,96.15,105,8.849999999999994
AXR,4.7,0,-4.7
AXS,45.01,43.5,-1.509999999999998
AXS-E,0,0,0
AXSM,77.57,160.5,82.93
AXTA,23.8,22.5,-1.3000000000000007
AXTI,4.53,6,1.4699999999999998
AXU,2.66,2.23,-0.43000000000000016
AY,30.25,32.5,2.25
AYI,108.84,100,-8.840000000000003
AYLA,12.45,23.5,11.05
AYRO,3.2,0,-3.2
AYTU,1.28,3.75,2.4699999999999998
AYX,111.82,149,37.18000000000001
AZAA,26.32,0,-26.32
AZAL,0,0,0
AZBA,0,0,0
AZBL,25.776,0,-25.776
AZEK,41.03,0,-41.03
AZN,55.71,58.3,2.5899999999999963
AZO,1209.07,1280,70.93000000000006
AZPN,123.46,114,-9.459999999999994
AZRE,22.81,19,-3.8099999999999987
AZRX,0.86,3,2.14
AZUL,11.58,10.7,-0.8800000000000008
AZZ,33.87,44.25,10.380000000000003
B,37.45,38,0.5499999999999972
BA,167.5,153,-14.5
BAB,33.63,0,-33.63
BABA,265.8,256.94,-8.860000000000014
BAC,24.98,27.5,2.5199999999999996
BAC-C,0,0,0
BAC-E,0,0,0
BAC-K,0,0,0
BAC-L,0,0,0
BAC-M,0,0,0
BAC-N,0,0,0
BAF,14.98,0,-14.98
BAH,86.32,84,-2.319999999999993
BAK,8.58,16,7.42
BAL,38.0781,0,-38.0781
BAM,33.85,41.5,7.649999999999999
BANC,11.21,12.25,1.0399999999999991
BANC-D,0,0,0
BANC-E,0,0,0
BAND,156.1,120,-36.099999999999994
BANF,44.23,37,-7.229999999999997
BANFP,28.68,0,-28.68
BANR,34.665,41.5,6.835000000000001
BANX,19.05,20,0.9499999999999993
BAP,126.15,219.45,93.29999999999998
BAPR,28.691,0,-28.691
BAR,19.27,0,-19.27
BASI,4.71,2.15,-2.56
BATL,7.875,0,-7.875
BATRA,19.58,35.66,16.08
BATRK,19.4,19,-0.3999999999999986
BATT,10.48,0,-10.48
BAUG,27.98,0,-27.98
BAX,83.09,98,14.909999999999997
BB,4.75,5.5,0.75
BBAR,3.32,3.5,0.18000000000000016
BBAX,23.63,0,-23.63
BBBY,11.67,10,-1.67
BBC,40.79,13,-27.79
BBCA,24.81,0,-24.81
BBCP,3.77,3.75,-0.020000000000000018
BBD,3.68,6.17,2.4899999999999998
BBDC,8.2,8.5,0.3000000000000007
BBDO,3.4,0,-3.4
BBEU,23.5,0,-23.5
BBF,13.24,0,-13.24
BBGI,1.69,5,3.31
BBH,157.09,0,-157.09
BBI,0.83,0,-0.83
BBIN,48.9,0,-48.9
BBIO,28.17,43.5,15.329999999999998
BBJP,24.07,0,-24.07
BBK,15.42,0,-15.42
BBL,45.11,33.09,-12.019999999999996
BBMC,63.561,0,-63.561
BBN,26.48,0,-26.48
BBP,44.5173,0,-44.5173
BBQ,4.62,2.5,-2.12
BBRE,74.02,0,-74.02
BBSA,26.28,0,-26.28
BBSI,58.13,74,15.869999999999997
BBU,34.13,38,3.8699999999999974
BBUS,61.988,0,-61.988
BBVA,2.83,2.7,-0.1299999999999999
BBW,2.2,5.75,3.55
BBX,14.86,32.5,17.64
BBY,114,100,-14
BC,62.37,66,3.6300000000000026
BC-C,0,0,0
